2D-Data set:  transported gossan material (Riotinto, Spain)    
    7
sample
easting   metres
northing  metres
elevation metres
length    metres
gold      g/t
silver    g/t
  564 -1275.0  2000.0 384.6  6.00  1.44   91.50
  565 -1275.0  2025.0 385.2  7.00  1.61   62.07
  561 -1275.0  2050.0 385.1  7.00  2.70   88.07
  562 -1275.0  2075.0 385.5  7.00  2.48   44.21
  563 -1275.0  2100.0 385.9  7.00  2.44   75.71
  526 -1275.0  2125.0 389.2 12.00  1.88  124.25
  525 -1275.0  2150.0 389.3 12.00  1.48   97.31
  428 -1275.0  2350.0 406.0 10.00  1.51   76.70
  427 -1275.0  2375.0 405.0 10.00  1.50   69.65
  159 -1275.0  2400.0 417.7 10.00  1.77   55.23
  429 -1275.0  2450.0 407.7  6.00  0.67   19.62
   21 -1251.0  2101.4 384.9 20.00  2.13   93.15
   10 -1250.1  1899.7 403.5  2.00  1.50   67.50
   20 -1250.1  2000.1 389.4 20.00  1.92   59.90
  240 -1250.0  1900.0 401.9  6.00  1.36   84.62
  393 -1250.0  1925.0 396.1  6.00  0.63   23.75
  513 -1250.0  1950.0 389.9  7.50  1.09   27.70
  557 -1250.0  1975.0 384.7  7.00  1.80   68.86
  559 -1250.0  2000.0 384.8  7.00  2.17   67.71
  519 -1250.0  2025.0 389.5  9.00  1.73   68.33
  509 -1250.0  2050.0 389.0 10.00  1.97   63.25
  478 -1250.0  2075.0 389.3 10.00  2.37   75.55
  487 -1250.0  2100.0 389.4 10.00  1.80  106.05
  482 -1250.0  2125.0 389.7 10.00  1.44  119.20
  479 -1250.0  2150.0 389.6 10.00  2.35   96.40
  285 -1250.0  2175.0 393.9  9.00  1.28   71.17
  460 -1250.0  2200.0 396.7  9.00  1.81  105.67
  469 -1250.0  2250.0 397.4  7.50  1.48   49.20
  470 -1250.0  2275.0 398.6  6.00  1.25   70.25
  464 -1250.0  2300.0 396.0 10.00  1.70  115.05
   34 -1249.3  2400.0 407.7  8.00  1.14   61.75
   28 -1246.8  2199.8 396.6  4.00  2.05  108.00
   57 -1245.8  2295.7 394.1 14.00  1.50   72.43
   70 -1245.0  2155.0 392.5 11.70  1.63  130.08
   72 -1243.0  2197.0 393.2  9.00  1.79   87.70
   69 -1240.0  2120.0 389.7 18.00  1.07  108.75
  372 -1225.0  1875.0 395.4  7.50  0.63   51.30
  238 -1225.0  1900.0 400.1 10.00  2.22   77.90
  379 -1225.0  1925.0 394.7  9.00  1.50   54.67
  540 -1225.0  1950.0 390.6  6.00  1.40   74.75
  566 -1225.0  1975.0 384.7  7.00  1.58   78.36
  473 -1225.0  2000.0 388.4 10.00  1.57   58.50
  471 -1225.0  2025.0 388.5 10.00  1.83   60.98
  490 -1225.0  2050.0 387.7 12.00  1.72   71.81
  489 -1225.0  2075.0 388.5 10.00  1.68   86.10
  477 -1225.0  2100.0 389.0 10.00  1.54  119.03
  483 -1225.0  2125.0 388.7 10.00  1.53  141.18
  488 -1225.0  2150.0 388.3 10.00  1.75  134.50
  281 -1225.0  2175.0 393.1 10.00  1.99   83.95
  502 -1225.0  2200.0 387.7 12.00  2.10   90.19
  495 -1225.0  2225.0 387.3 12.00  2.05   70.25
  503 -1225.0  2250.0 388.9  9.00  1.62   51.75
   73 -1210.0  2197.0 391.1 20.50  2.23   68.70
   42 -1202.9  1749.9 401.5 12.00  1.80   31.00
   38 -1202.8  2256.1 390.4 22.00  1.83   89.32
   74 -1202.0  2100.0 385.4 27.00  1.39  104.72
   56 -1200.2  1950.8 386.5 24.00  2.10   46.79
   95 -1200.0  1800.0 397.6 15.00  1.25  138.38
    7 -1200.0  1800.2 398.4 14.00  2.25  105.43
   50 -1200.0  1849.1 404.1 10.00  1.98   96.40
  373 -1200.0  1875.0 396.0  6.00  2.06   69.25
  187 -1200.0  1900.0 395.1 10.00  1.22   39.41
  186 -1200.0  1925.0 399.4 10.00  1.12   57.40
  485 -1200.0  1950.0 388.2 10.00  1.25   53.25
  567 -1200.0  1975.0 384.5  7.00  1.52   56.07
  472 -1200.0  2000.0 388.1 10.00  1.51   55.12
  474 -1200.0  2025.0 388.4 10.00  1.77   72.38
   40 -1200.0  2049.5 378.4 30.00  2.61   83.87
  378 -1200.0  2050.0 388.3 10.00  1.77   78.65
  556 -1200.0  2075.0 385.5  7.00  1.84  122.86
  555 -1200.0  2100.0 385.6  7.00  1.95  154.30
  554 -1200.0  2125.0 385.5  7.00  1.61  129.86
   41 -1200.0  2149.3 384.3 18.00  2.23   91.61
  484 -1200.0  2150.0 388.5 10.00  1.88   79.95
  553 -1200.0  2175.0 385.5  7.00  2.13   81.46
  302 -1200.0  2200.0 389.0 10.00  2.36   71.38
   75 -1200.0  2250.0 388.1 27.00  1.40   75.43
   71 -1191.0  2148.0 388.3 22.50  1.54   90.15
  209 -1175.0  1875.0 394.8  9.00  1.62   64.62
  198 -1175.0  1900.0 395.3  7.50  1.52   44.50
  193 -1175.0  1925.0 393.8 10.00  1.56   51.83
  500 -1175.0  1950.0 388.0 10.00  1.66   61.45
  568 -1175.0  1975.0 385.0  7.00  1.20   50.86
  466 -1175.0  2000.0 388.3 10.00  1.14   50.55
  476 -1175.0  2025.0 388.3 10.00  2.01   85.12
  377 -1175.0  2050.0 388.2 10.00  1.37  103.86
  276 -1175.0  2075.0 388.9 10.00  1.37   65.38
  270 -1175.0  2100.0 388.8 10.00  1.88  104.08
  272 -1175.0  2125.0 388.9 10.00  0.81   67.90
  273 -1175.0  2150.0 389.0 10.00  1.65   77.97
  274 -1175.0  2175.0 388.9 10.00  1.43   76.02
  275 -1175.0  2200.0 388.8 10.00  1.57  112.00
  118 -1175.0  2250.0 392.3 19.50  1.28   97.00
   17 -1151.6  1999.6 380.9 38.00  1.67   53.95
   11 -1151.5  2101.8 379.3 28.00  2.00   79.54
   18 -1150.2  2199.8 382.3 22.00  1.80   96.77
  204 -1150.0  1900.0 397.1  4.50  1.22   57.75
  194 -1150.0  1925.0 394.4  9.00  1.27   40.96
  499 -1150.0  1950.0 388.7  9.00  1.40   43.33
